213 | Custom CSS | फेरफार करण्यासाठीची सीएसएस (CSS)
214 | Off | बंद 
215 | On | on
216 | (no title) | (शीर्षक नाही)
217 | Type | टाईप
218 | Template | टेमप्लेट 
219 | Tools | टूल्स
220 | Page | पृष्ठ
221 | Export | निर्यात
222 | Insert | समाविष्ट करा
223 | Library | ग्रंथालय
224 | Close | बंद
225 | Aside | बाजूला
226 | Username | वापरकर्त्याचे नाव
227 | Comments | टिप्पण्या
228 | Update Now | आत्ता अद्यायावत करा
229 | Custom URL | Custom URL
230 | Paste | पेस्ट
231 | Background | पार्श्वभाग
232 | General | सामान्य
233 | Loop | लूप
234 | Video | व्हिडिओ
235 | Insert Media | मीडिया घाला
236 | Custom | सानुकूल
237 | No Images Selected | कोणत्याही इमेज निवडल्या नाही
238 | Image Size | इमेज आकार
239 | None | काहीही नाही
240 | Settings | सेटिंग्स
241 | YouTube | युटयूब
242 | Sidebar | साईडबार
243 | Anchor | अँकर
244 | Image Position | इमेज स्थिती
245 | Square | चैारस
246 | Circle | वर्तृळ
247 | List Item | यादी आयटम
248 | Link to | Link To
249 | Address | अॅड्रेस (Address)
250 | Caption | शीर्षक
251 | Images | प्रतिमा
252 | Random | अविशिष्ट
253 | Media File | मीडिया फाईल
254 | Attachment Page | अटेचमेंट पृष्ठ
255 | Add Images | प्रतिमा जोडा
256 | Color | रंग
257 | Autoplay | ऑटोप्ले
258 | Choose Image | प्रतिमा निवडा
259 | Image | इमेज
260 | Border | सीमा
261 | Size | आकार
262 | Alignment | संरेखन
263 | Large | मोठा
264 | Medium | मध्यम
265 | Edit | संपादन
266 | Description | वर्णन
267 | Title | शीर्षक
268 | Background Color | पार्श्वभूमीचा रंग
269 | Hide | लपवा
270 | Show | दाखवा 
271 | Info | माहिती
272 | Border Color | सीमा रंग
273 | View | पहा
274 | Name | नाव
275 | No | नाही
276 | Yes | होय
277 | General Settings | सामान्य सेटिंग्ज
278 | Text | मजकूर
279 | WordPress | वर्डप्रेस
280 | Navigation | नॅविगेशन
281 | Middle | मध्य
282 | Fit To Screen | स्क्रिनवर फिट करा
283 | Height | उंची
284 | Width | रुंदी
285 | Layout | मांडणी
286 | CSS Classes | सीएसएस क्लासेस
287 | Center | सेंटर
288 | Text Color | मजकूर रंग
289 | Column | रकाना
290 | Advanced | प्रगत
291 | Style | शैली
292 | Content | मजकूर
293 | Columns | रकाने
294 | Colors | रंग
295 | Saved | जतन केले
296 | Go Back | मागे जा
297 | Take Over | कार्यभार हाती घ्या
298 | Cancel | रद्द करा
299 | Apply | लागू करा
300 | Preview | पूर्वावलोकन
301 | Save | जतन करा
302 | Help | मदत
303 | Menu | मेनू
304 | Delete | खोडून टाकणे
305 | Style | शैली
306 | Size | आकार
307 | Color | रंग
308 | Width | रुंदी
309 | Size | आकार
310 | Position | स्थान
311 | Image | इमेज
312 | Background Color | पार्श्वभूमीचा रंग
313 | Color | रंग
314 | Link | लिंक
315 | Left | डावं
316 | Bottom | तळाशी
317 | Right | उजवा
318 | Top | अव्वल
319 | Clear | स्पष्ट
320 | Custom CSS | फेरफार करण्यासाठीची सीएसएस (CSS)
321 | Translations | अनुवाद
322 | Installation | प्रतिष्ठापन
