147 | Update Now | आत्ता अद्यायावत करा
148 | Update %s now | %s आत्ता सुधारणा करा 
149 | Install %s now | %s आत्ता इन्स्टाल करा 
150 | By %s | %s द्वारे
151 | Tools | टूल्स
152 | Edit Page | पेजेस संपादित करा
153 | Russian | रशियन
154 | Polish | पोलिश
155 | German | जर्मन
156 | Italian | इटालियन
157 | French | फ्रेंच
158 | English | इंग्रजी
159 | Dutch | डच
160 | Indonesian | इंडोनेशियन
161 | failed | अयशस्वी
162 | Items | आयटमस्
163 | Move to trash | ⁠⁠⁠ट्रॅशमध्ये हलवा
164 | About | विषयी
165 | Save changes | बदल जतन करा
166 | Register | नोंदणी
167 | Lost your password? | पासवर्ड विसरलात?
168 | Remember me | माझी आठवण ठेवा
169 | User Email | वापरकर्ता ईमेल
170 | Summary | सारांश
171 | Redo | पुन्हा करा
172 | Your email | आपला ईमेल
173 | Username or email | वापरकर्त्याचे नाव अथवा ईमेल:
174 | Profile | प्रोफाईल
175 | minute | मिनिट
176 | hour | तास
177 | day | दिवस
178 | Preview %s | पूर्वावलोकन %s
179 | items | आयटमस्
180 | Deleting... | हटवीत आहे...
181 | Installing... | स्थापना होत आहे...
182 | Install | स्थापित करा
183 | Change | बदला
184 | Actions | क्रिया
185 | Version:  | आवृत्ती:
186 | Size | आकार
187 | Slug | स्लग
188 | Advanced | प्रगत
189 | ID | आयडी
190 | Description | वर्णन
191 |  Copy | कॉपी
192 | Welcome | आपले स्वागत आहे
193 | Search users | वापरकर्ते शोधा
194 | Sorry, you are not allowed to edit this user. | क्षमस्व, आपणास ह्या वापरकर्त्याला एडिट करायची परवानगी नाही.
195 | Activate | सक्रिय करा
196 | Activity | अॅक्टिवेटी
197 | Please try again. | थोड्यावेळाने पुन्हा प्रयत्न करा.
198 | View | पहा
199 | Edit | संपादन
200 | Remove | काढा
201 | Value | मूल्य
202 | Key | की
203 | Upload | अपलोड
204 | Or | किंवा
205 | Failed | अयशस्वी
206 | Clear | स्पष्ट
207 | Edit &#8220;%s&#8221; | एडीट करा &#8220;%s&#8221;
208 | Attributes | विशेषता
209 | File | फाईल
210 | Template | टेमप्लेट 
211 | Youtube | युटयूब
212 | None | काहीही नाही
213 | Author | लेखक
214 | Featured | वैशिष्ट्यपूर्ण
215 | Search | शोधा
216 | New password | नवीन पासवर्ड
217 | Display name publicly as | सार्वजनिकरित्या प्रदर्शन नाव
218 | Last Name | शेवटचे नाव
219 | First Name | पहिले नाव
220 | Share a little biographical information to fill out your profile. This may be shown publicly. | आपल्या प्रोफाइल भरण्यासाठी थोडे चरित्रात्मक माहिती शेअर करा. हे सार्वजनिकरित्या दर्शविली जाऊ शकते.
221 | Biographical Info | चरित्रात्मक माहिती
222 | Overview | आढावा
223 | Schedule | कार्यक्रम
224 | saved. | जतन केले
225 | Custom field deleted. | सानुकूल फील्ड काढून टाकली.
226 | Custom field updated. | सानुकूल फील्ड अपडेट झाले.
227 | Title | शीर्षक
228 | Nickname | टोपणनाव
229 | Tools | टूल्स
230 | OK | ठीक
231 | New page title | नवीन पृष्ठ शीर्षक
232 | Finish | समाप्त
233 | Time | वेळ
234 | Action | क्रिया
235 | Status: | स्थिती:
236 | Continue | सुरु ठेवा
237 | Log out of this account | या खात्य मधून बाहेर या 
238 | Email: %s | इमेल: %s
239 | Trash | ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠ट्रॅश
240 | Scheduled | अनुसूचित
241 | Pending Review | पुनरावलोकन प्रलंबित
242 | Install Now | त्वरीत स्थापित करा
243 | Edit | संपादन
244 | Delete | खोडून टाकणे
245 | Settings | सेटिंग्स
246 | Failed | अयशस्वी
247 | Completed | पूर्ण झाले
248 | Status | स्थिती
249 | Order | ऑर्डर
250 | Standard | स्टँडर्ड
251 | Filter | गाळणे
252 | Format | स्वरूप
253 | All Tags | सर्व टॅगज्
254 | Add New Tag | नवीन टॅग जोडा
255 | General Settings | सामान्य सेटिंग्ज
256 | Tags | टॅगस्
257 | Choose from the most used tags | सर्वात जास्त वापरले टॅग मधून निवडा
258 | Add or remove tags | टॅग्स जोडा किंवा कमी करा.
259 | Separate tags with commas | स्वल्पविरामाने  टॅग्स विभक्त करा
260 | Tag | टॅग
261 | Category | कॅटेगरी
262 | Submit | सबमिट
263 | Documentation | डोक्युमेंटशन
264 | Email Address | ई-मेल अॅड्रेस
265 | Type | टाईप
266 | Default | मुलभूत
267 | Header image | हेडर इमेज
268 | Subject | विषय
269 | Enable | सक्षम
270 | Move to Trash | ⁠⁠⁠ट्रॅशमध्ये हलवा
271 | Delete Permanently | कायमचे हटवा
272 | View all | सर्व पहा
273 | Submit for review | पुनरावलोकनसाठी सबमिट करा
274 | Add New | नवीन लिंक
275 | Add | जोडा
276 | Archive | संग्रहण
277 | Submit for Review | पुनरावलोकनसाठी सबमिट करा
278 | Installed | स्थापित
279 | Pending | प्रलंबित
280 | Publish | प्रकाशित
281 | All | सर्व
282 | General | सामान्य
283 | Ok | ठीक
284 | Disabling Maintenance mode&#8230; | देखभाल मोड अक्षम&#8230;
285 | Enabling Maintenance mode&#8230; | देखभाल मोड सक्षम&#8230;
286 | The package could not be installed. | पॅकेज स्थापित करणे शक्य झाले नाही.
287 | Could not create directory. | निर्देशिका तयार करू शकत नाही.
288 | Destination folder already exists. | गंतव्य संचयीका आधिपासूनच अस्तित्वात आहे.
289 | The package contains no files. | पॅकेज फाइल्स समाविष्ट करत नाही . 
290 | Installing the latest version&#8230; | नवीन आवृत्ती स्थापित करीत आहे&#8230;
291 | Download failed. | डाउनलोड अयशस्वी झाले.
292 | Unable to locate WordPress Theme directory. | वर्डप्रेस थीम डिरेक्टरी शोधण्यात अक्षम.
293 | Unable to locate WordPress Plugin directory. | वर्डप्रेस प्लगईन निर्देशिका शोधण्यास अक्षम.
294 | Unable to locate WordPress Content directory (wp-content). | वर्डप्रेस सामग्री डिरेक्टरी (wp-content) शोधण्यास अक्षम.
295 | Unable to locate WordPress Root directory. | वर्डप्रेसची मूळ डिरेक्टरी मिळाली नाही.
296 | Filesystem error. | फाइल सिस्टम त्रुटी.
297 | Could not access filesystem. | फाइलप्रणालीमध्ये प्रवेश करू शकलो नाही.
298 | Invalid Data provided. | अवैध डेटा पाठवला.
299 | <strong>Compatible</strong> with your version of WordPress | वर्डप्रेस आवृत्ती <strong> सुसंगत </strong> आहे.
300 | <strong>Incompatible</strong> with your version of WordPress | आपल्या वर्डप्रेस वर्जन बरोबर <strong>विसंगत</strong>.
301 | Untested with your version of WordPress | वर्डप्रेसची आवृत्ती आपल्या चाचणीविना 
302 | %s Active Installs | %s सक्रिय स्थापना
303 | %s ago | %s पूर्वी
304 | Last Updated: | शेवटचे अद्यावत:
305 | Enable | सक्षम
306 | Update Now | आत्ता अद्यायावत करा
307 | Update %s now | %s आत्ता सुधारणा करा 
308 | Install %s now | %s आत्ता इन्स्टाल करा 
309 | By %s | %s द्वारे
310 | Tools | टूल्स
311 | Edit Page | पेजेस संपादित करा
312 | Russian | रशियन
313 | Polish | पोलिश
314 | German | जर्मन
315 | Italian | इटालियन
316 | French | फ्रेंच
317 | English | इंग्रजी
318 | Dutch | डच
319 | Indonesian | इंडोनेशियन
