1 | Your password reset link appears to be invalid. Please request a new link below. | आपली पासवर्ड रीसेत लिंक अमान्य असल्याचे दिसते. कृपया खाली दिलेल्या लिंक वरून नवीन मागवा. 
187 | Save Changes | बदल जतन करा
188 | User | वापरकर्ता
189 | Language | भाषा
190 | Delete | खोडून टाकणे
191 | Title | शीर्षक
192 | Username | वापरकर्त्याचे नाव
193 | Password | पासवर्ड
194 | Remove | काढा
195 | Upload | अपलोड
196 | Default | मुलभूत
197 | Theme | थीम
198 | Your password reset link appears to be invalid. Please request a new link below. | आपली पासवर्ड रीसेत लिंक अमान्य असल्याचे दिसते. कृपया खाली दिलेल्या लिंक वरून नवीन मागवा. 
199 | Your password reset link has expired. Please request a new link below. | आपली पासवर्ड रीसेट लिंक कालबाह्य झाली आहे. खाली एक नवीन लिंक विनंती करा.
200 | https://wordpress.org/support/ | https://mr.wordpress.org/support/
201 | Enter Title Here | येथे शीर्षक प्रविष्ट करा
202 | Finish | समाप्त
203 | Content | मजकूर
204 | More Details | अधिक  माहिती 
205 | Role | भूमिका
206 | Edit | संपादन
207 | items | आयटमस्
208 | Pages | पृष्ठ
209 | %s page | %s पेज 
210 | Publish | प्रकाशित
211 | Clear | स्पष्ट
212 | Select | निवडा
213 | Profile | प्रोफाईल
214 | General | सामान्य
215 | Appearance | देखावा
216 | Uploads | अपलोडस्
217 | Email | ईमेल
218 | Custom URL | Custom URL
219 | User Display Name | वापरकर्ता दर्शनी नाव
220 | User ID | वापरकर्ता ID
221 | 1 comment | १ प्रतिक्रिया
222 | no comments | कोणत्याही टिप्पण्या नाहीत
223 | %s ago | %s पूर्वी
224 | Title: | शीर्षक:
225 | Search Users | वापरकर्ते शोधा
226 | Comments | टिप्पण्या
227 | Posts | टिप्पणी
228 | Add New | नवीन लिंक
229 | Default Template | मुलभूत टेमप्लेट
230 | Register | नोंदणी
231 | Deactivate | निष्क्रिय
232 | About | विषयी
233 | Activate | सक्रिय करा
234 | Save | जतन करा
235 | Change file | फाईल बदला
236 | New Password | नवीन पासवर्ड
237 | %s min | %s मि.
238 | Singapore | सिंगापोर
239 | San Marino | सॅन मरीनो
240 | Samoa | सॅमोआ
241 | Réunion | रीयुनियन
242 | Qatar | कतार
243 | Puerto Rico | प्युर्तो रिको
244 | Pitcairn | पिटकेन
245 | Panama | पॅनामा
246 | Palau | पलाऊ
247 | Niue | न्यूई
248 | Montserrat | मोंतसेर्रात
249 | Monaco | मोनॅको
250 | Mayotte | मेयोट्टे
251 | Mauritius | माॅरिशियस
252 | Martinique | मार्टीनिके
253 | Malta | माल्टा
254 | Maldives | माॅलडिव्स्
255 | Macao | मकाओ
256 | Luxembourg | लक्समबर्ग
257 | Kuwait | कुवैट
258 | Jersey | जर्सी
259 | Jamaica | जमैका
260 | Isle of Man | आयल ऑफ मॅन
261 | Hong Kong | हाँग काँग
262 | Guyana | गुयाना
263 | Guernsey | गर्न्ज़ी
264 | Guatemala | गुआतेमाला
265 | Guam | गुअॅम
266 | Guadeloupe | ग्वाडेलूपे
267 | Grenada | ग्रेनॅडा
268 | Gibraltar | जिब्राल्टर
269 | Fiji | फीजी
270 | El Salvador | एल सॅलवॅडोर
271 | Dominica | डॉमिनिका
272 | Djibouti | जिबूटी
273 | Costa Rica | कोस्टा रीका
274 | Cape Verde | केप वर्दे
275 | Bermuda | बर्म्युडा
276 | Belize | बेलीझ
277 | Barbados |  बार्बाडॉस
278 | Bahrain | बाहरेन
279 | Australia | ऑस्ट्रेलिया
280 | Aruba | अरुबा
281 | Argentina | आर्जन्टिना
282 | Antarctica | अँटार्कटीका
283 | Anguilla | अँगुईल्ला
284 | Andorra | अॅनडोरा
285 | Zulu | झूलू
286 | Chinese | चीनी
287 | Yiddish | यिद्दिश
288 | Vietnamese | व्हिएतनामी
289 | Ukrainian | युक्रेनियन
290 | Turkish | तुर्कीश
291 | Tagalog | टागालॉग
