193 | Select Files | फाईल्स निवडा
194 | Media | मीडिया
195 | Confirm Password | संकेतशब्द कन्फर्म करा
196 | Select | निवडा
197 | Text | मजकूर
198 | City: | शहर:
199 | Name:  | नाव:
200 | Current Page | सध्याचे पेज
201 | Source | स्रोत
202 | Column | रकाना
203 | Size | आकार
204 | Show | दाखवा 
205 | Pending | प्रलंबित
206 | Published | प्रकाशित
207 | Hide | लपवा
208 | Image | इमेज
209 | Choose image | प्रतिमा निवडा
210 | Welcome | आपले स्वागत आहे
211 | Reset Password | पासवर्ड रीसेट करा
212 | Profile | प्रोफाईल
213 | Video | व्हिडिओ
214 | Print | प्रिंट
215 | Contact | संपर्क
216 | All Types | सर्व प्रकार
217 | Details | तपशील
218 | View All | सर्व पहा
219 | Overview | आढावा
220 | Email: | ईमेल:
221 | or | किंवा
222 | Disable | अक्षम
223 | Enable | सक्षम
224 | Go to Dashboard | डॅशबोर्ड वर जा
225 | Search | शोधा
226 | From: | पासून:
227 | Email:  | ईमेल:
228 | To: | च्यापर्यत:
229 | Save | जतन करा
230 | Close | बंद
231 | Next | पुढे
232 | Previous | मागील
233 | Log in | लॉग ईन
234 | Register | नोंदणी
235 | New Password  | नवीन पासवर्ड
236 | Update Profile | प्रोफाइल सुधारणा करा
237 | Last Name | शेवटचे नाव
238 | First Name | पहिले नाव
239 | Get new password | नवीन पासवर्ड मिळवा
240 | Lost password | हरवलेलं पासवर्ड
241 | Remember me | माझी आठवण ठेवा
242 | Password | पासवर्ड
243 | Username | वापरकर्त्याचे नाव
244 | year | वर्ष
245 | month | महिना 
246 | day | दिवस
247 | Youtube | युटयूब
248 | Instagram | इन्स्टाग्राम
249 | LinkedIn | लिंक्डइन
250 | Possible reason: your host may have disabled the mail() function. | शक्यता - तुमच्या होस्टने mail() फंक्शन अकार्यान्वित केले असेल
251 | The email could not be sent. | ई-मेल पोहचू शकला नाही.
252 | [%s] Password Reset | [%s] पासवर्ड बदल
253 | To reset your password, visit the following address: | आपला पासवर्ड रीसेट करण्यासाठी, खालील पत्त्यावर भेट द्या:
254 | If this was a mistake, just ignore this email and nothing will happen. | जर चूक झाली असेल तर या इमेल कडे दुर्लक्षित करा किवा काहीच झाले नाही असे समजा
255 | Username: %s | वापरकर्ता चे नाव %s
256 | Someone has requested a password reset for the following account: | कोणीतरी खालील खात्या साठी पासवर्ड रिसेट करण्याची विनंती केली आहे
257 | Invalid email address. | अवैध ईमेल अड्रेस
258 | Upload | अपलोड
259 | Search Form | शोधण्याचा फॉर्म
260 | Features | वैशिष्ट्ये
261 | Import | आयात
262 | Edit %s | संपादित करा %s
263 | Add New | नवीन लिंक
264 | Font Family | फॉन्ट कुटुंब
265 | Select File | फाईल निवडा
266 | Height | उंची
267 | Width | रुंदी
268 | Bottom | तळाशी
269 | Top | अव्वल
270 | All | सर्व
271 | Remove | काढा
272 | Choose Image | प्रतिमा निवडा
273 | Featured | वैशिष्ट्यपूर्ण
274 | Right | उजवा
275 | Center | सेंटर
276 | Left | डावं
277 | Light | उजळ
278 | Dark | गडद
279 | Top Right | वरून उजवी बाजू
280 | Done | पूर्ण
281 | Save changes | बदल जतन करा
282 | Singapore | सिंगापोर
283 | San Marino | सॅन मरीनो
284 | Samoa | सॅमोआ
285 | Reunion | रीयुनियन
286 | Qatar | कतार
287 | Puerto Rico | प्युर्तो रिको
288 | Panama | पॅनामा
289 | Palau | पलाऊ
290 | Niue | न्यूई
291 | Nauru | नाऊरु
292 | Montserrat | मोंतसेर्रात
293 | Monaco | मोनॅको
294 | Mayotte | मेयोट्टे
295 | Mauritius | माॅरिशियस
296 | Martinique | मार्टीनिके
297 | Malta | माल्टा
298 | Maldives | माॅलडिव्स्
299 | Macao | मकाओ
300 | Luxembourg | लक्समबर्ग
301 | Kuwait | कुवैट
302 | Jersey | जर्सी
